rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbperlim,pl_orbsmax,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenlim,pl_orbincl,pl_orbincllim,pl_bmassj,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjlim,pl_dens,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefflim,st_teffblend,st_mass,st_masslim,st_massblend,st_rad,st_radlim,st_radblend,TEFF_COLOR
16,30 Ari B,b,Radial Velocity,1,335.1,0,0.995,0,0.289,0,180,,9.88000,0,Msini,1,,,,0,0,0,0,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,39.43,0,,,,,,6300,0,0,1.16000,0,0,1.13,0,0,Cyan
17,4 UMa,b,Radial Velocity,1,269.3,0,0.87,0,0.432,0,180,,7.10000,0,Msini,1,,,,0,0,0,0,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,77.4,0,4.61,,0,0,V (Johnson),4415,0,0,1.23000,0,0,18.11,0,0,Green
18,42 Dra,b,Radial Velocity,1,479.1,0,1.19,0,0.38,0,180,,3.88000,0,Msini,1,,,,0,0,0,0,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,97.28,0,4.82,,0,0,V (Johnson),4200,0,0,0.98000,0,0,22.03,0,0,Green
19,47 UMa,b,Radial Velocity,3,1078,0,2.1,0,0.032,0,180,,2.53000,0,Msini,1,,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,0,5.05,,0,0,V (Johnson),5892,0,0,1.03000,0,0,1.23,0,0,Cyan
20,47 UMa,c,Radial Velocity,3,2391,0,3.6,0,0.098,0,180,,0.54000,0,Msini,1,,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,0,5.05,,0,0,V (Johnson),5892,0,0,1.03000,0,0,1.23,0,0,Cyan
21,47 UMa,d,Radial Velocity,3,14002,0,11.6,0,0.16,0,180,,1.64000,0,Msini,1,,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,0,5.05,,0,0,V (Johnson),5892,0,0,1.03000,0,0,1.23,0,0,Cyan
22,51 Eri,b,Imaging,1,,0,13.2,0,0.00001,,180,,2.00000,0,Mass,1,,,,0,0,0,1,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,29.4,0,5.23,,0,0,V (Johnson),0,,0,1.75000,0,0,1,,0,Red
23,51 Peg,b,Radial Velocity,1,4.230785,0,0.0527,0,0.013,0,180,,0.47200,0,Msini,1,,,,0,0,0,0,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.36,0,5.5,,0,0,V (Johnson),5793,0,0,1.12000,0,0,1.2,0,0,Cyan
24,55 Cnc,b,Radial Velocity,5,14.65152,0,0.115227,0,0.0034,0,90,0,0.83060,0,Mass,1,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0,5.96,0.01,0,0,V (Johnson),5196,0,0,0.91000,0,0,0.94,0,0,Cyan
25,55 Cnc,c,Radial Velocity,5,44.4175,0,0.241376,0,0.02,0,90,0,0.17140,0,Mass,1,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0,5.96,0.01,0,0,V (Johnson),5196,0,0,0.91000,0,0,0.94,0,0,Cyan
26,55 Cnc,d,Radial Velocity,5,4825,0,5.503,0,0.019,0,90,0,3.87800,0,Mass,1,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0,5.96,0.01,0,0,V (Johnson),5196,0,0,0.91000,0,0,0.94,0,0,Cyan
27,55 Cnc,e,Radial Velocity,5,,,0.01544,0,0.00001,,83,0,0.02542,0,Mass,0.171,0,6.3,0,0,0,0,1,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0,5.96,0.01,0,0,V (Johnson),5196,0,0,0.91000,0,0,0.94,0,0,Cyan
28,55 Cnc,f,Radial Velocity,5,262,0,0.788,0,0.305,0,90,0,0.14100,0,Mass,1,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0,5.96,0.01,0,0,V (Johnson),5196,0,0,0.91000,0,0,0.94,0,0,Cyan
29,6 Lyn,b,Radial Velocity,1,874.774,0,2.18,0,0.125,1,180,,2.21000,0,Msini,1,,,,0,0,0,0,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,56.95,0,,,,,,4978,0,0,1.70000,0,0,5.2,0,0,Green
30,61 Vir,b,Radial Velocity,3,4.215,0,0.050201,0,0.12,0,180,,0.01600,0,Msini,1,,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,0,4.74,,0,0,V (Johnson),5577,0,0,0.94000,0,0,0.96,0,0,Cyan
31,61 Vir,c,Radial Velocity,3,38.021,0,0.2175,0,0.14,0,180,,0.05700,0,Msini,1,,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,0,4.74,,0,0,V (Johnson),5577,0,0,0.94000,0,0,0.96,0,0,Cyan
32,61 Vir,d,Radial Velocity,3,123.01,0,0.476,0,0.35,0,180,,0.07200,0,Msini,1,,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,0,4.74,,0,0,V (Johnson),5577,0,0,0.94000,0,0,0.96,0,0,Cyan
33,7 CMa,b,Radial Velocity,1,796,0,1.93,0,0.22,0,180,,2.46000,0,Msini,1,,,,0,0,0,0,06h36m41.04s,99.17099,-19d15m21.2s,-19.255878,19.84,0,3.92,,0,0,V (Johnson),4792,0,0,1.52000,0,0,2.3,0,0,Green
34,70 Vir,b,Radial Velocity,1,116.6926,0,0.481,0,0.399,0,180,,7.40000,0,Msini,1,,,,0,0,0,0,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,18.11,0,4.98,,0,0,V (Johnson),5439,0,0,1.09000,0,0,1.94,0,0,Cyan
35,75 Cet,b,Radial Velocity,1,691.9,0,2.1,0,0.117,0,180,,3.00000,0,Msini,1,,,,0,0,0,0,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896,81.5,0,5.35,,0,0,V (Johnson),4846,0,0,2.49000,0,0,10.5,0,0,Green
36,8 UMi,b,Radial Velocity,1,93.4,0,0.49,0,0.06,0,180,,1.50000,0,Msini,1,,,,0,0,0,0,14h56m48.35s,224.201477,+74d54m03.3s,74.900925,159.1,0,6.83,,0,0,V (Johnson),4847.4,0,0,1.80000,0,0,9.9,0,0,Green
37,81 Cet,b,Radial Velocity,1,952.7,0,2.5,0,0.206,0,180,,5.30000,0,Msini,1,,,,0,0,0,0,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,97.18,0,5.65,,0,0,V (Johnson),4785,0,0,2.40000,0,0,11,0,0,Green
38,91 Aqr,b,Radial Velocity,1,181.4,0,0.7,0,0.027,0,180,,3.20000,0,Msini,1,,,,0,0,0,0,23h15m53.50s,348.9729,-09d05m15.9s,-9.087737,45.52,0,4.25,,0,0,V (Johnson),4665,0,0,1.40000,0,0,11,0,0,Green
39,AB Pic,b,Imaging,1,,,260,0,0.00001,,180,,13.50000,0,Mass,1,,,,0,0,0,0,06h19m12.91s,94.803802,-58d03m15.5s,-58.05431,45.52,0,9.128,0.019,0,0,V (Johnson),0,,,1.00000,,,1,,,Red
