mpl_hostname,mpl_letter,mpl_def,mpl_reflink,mpl_discmethod,mpl_pnum,mpl_orbper,mpl_orbpererr1,mpl_orbpererr2,mpl_orbperlim,mpl_orbsmax,mpl_orbsmaxerr1,mpl_orbsmaxerr2,mpl_orbsmaxlim,mpl_orbeccen,mpl_orbeccenerr1,mpl_orbeccenerr2,mpl_orbeccenlim,mpl_orbincl,mpl_orbinclerr1,mpl_orbinclerr2,mpl_orbincllim,mpl_bmassj,mpl_bmassjerr1,mpl_bmassjerr2,mpl_bmassjlim,mpl_bmassprov,mpl_radj,mpl_radjerr1,mpl_radjerr2,mpl_radjlim,mpl_dens,mpl_denserr1,mpl_denserr2,mpl_denslim,ra,raerr,dec,decerr,mst_teff,mst_tefferr1,mst_tefferr2,mst_tefflim,mst_teffblend,mst_mass,mst_masserr1,mst_masserr2,mst_masslim,mst_massblend,mst_rad,mst_raderr1,mst_raderr2,mst_radlim,mst_radblend,rowupdate
14 And,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008PASJ...60.1317S target=ref> Sato et al. 2008 </a>,Radial Velocity,1,185.84,0.23,-0.23,0,0.83,,,0,0,,,0,,,,,4.8,,,0,Msin(i),,,,,,,,,352.822571,0.000001,39.236198,0.000001,4813,20,-20,0,0,2.2,0.1,-0.2,0,0,11,1,-1,0,0,5/14/14
14 Her,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007ApJ...654..625W target=ref> Wittenmyer et al. 2007 </a>,Radial Velocity,1,1773.4,2.5,-2.5,0,2.77,0.05,-0.05,0,0.369,0.005,-0.005,0,,,,,4.64,0.19,-0.19,0,Msin(i),,,,,,,,,242.601303,0.000001,43.817646,0.000001,,,,,,,,,,,,,,,,5/14/14
18 Del,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008PASJ...60..539S target=ref> Sato et al. 2008 </a>,Radial Velocity,1,993.3,3.2,-3.2,0,2.6,,,0,0.08,0.01,-0.01,0,,,,,10.3,,,0,Msin(i),,,,,,,,,314.608063,0.000002,10.839286,0.000001,4979,18,-18,0,0,2.3,,,0,0,8.5,,,0,0,5/14/14
1RXS J160929.1-210524,b,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008ApJ...689L.153L target=ref> Lafreniere et al. 2008 </a>,Imaging,1,,,,,330,,,0,,,,,,,,,8,4,-2,0,Mass,1.664,,,0,,,,,242.376268,0.000017,-21.083036,0.000017,4060,300,-200,0,0,0.85,0.2,-0.1,0,0,1.35,,,0,0,5/14/14
24 Sex,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010arXiv1007.4552J target=ref> Johnson et al. 2010 </a>,Radial Velocity,2,452.8,2.1,-4.5,0,1.333,0.004,-0.009,0,0.09,0.14,-0.06,0,,,,,1.99,0.26,-0.38,0,Msin(i),,,,,,,,,155.86821,0.000002,-0.902244,0.000001,5098,44,-44,0,0,1.54,0.08,-0.08,0,0,4.9,0.08,-0.08,0,0,5/14/14
24 Sex,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010arXiv1007.4552J target=ref> Johnson et al. 2010 </a>,Radial Velocity,2,883,32.4,-13.8,0,2.08,0.05,-0.02,0,0.29,0.16,-0.09,0,,,,,0.86,0.35,-0.22,0,Msin(i),,,,,,,,,155.86821,0.000002,-0.902244,0.000001,5098,44,-44,0,0,1.54,0.08,-0.08,0,0,4.9,0.08,-0.08,0,0,5/14/14
2MASS J01225093-2439505,b,1,<a href=http://adsabs.harvard.edu/abs/2013ApJ...774...55B target=ref> Bowler et al. 2013 </a>,Imaging,1,,,,,52,6,-6,0,,,,,,,,,24.5,2.5,-2.5,0,Mass,,,,,,,,,20.712243,0.000022,-24.664049,0.000019,3530,50,-50,0,0,0.4,0.05,-0.05,0,0,,,,,0,5/14/14
2MASS J12073346-3932539,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008A&A...477L...1D target=ref> Ducourant et al. 2008 </a>,Imaging,1,,,,,46,5,-5,0,,,,,,,,,4,1,-1,0,Mass,,,,,,,,,181.889447,0.000017,-39.548332,0.000017,,,,,,,,,,,,,,,,5/14/14
2MASS J21402931+1625183 A,b,1,<a href=http://adsabs.harvard.edu/abs/2010ApJ...711.1087K target=ref> Konopacky et al. 2010 </a>,Imaging,1,7336.5,1934.5,-584,0,,,,,0.26,0.06,-0.06,0,46.2,2.5,-8.7,0,20.95,83.79,-20.95,0,Mass,0.92,0.39,-0.36,0,,,,,325.122159,0.000019,16.421759,0.000017,2300,80,-80,0,0,0.08,0.06,-0.06,0,0,0.12,0.05,-0.04,0,0,5/14/14
2MASS J04414489+2301513,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...714L..84T target=ref> Todorov et al. 2010 </a>,Imaging,1,,,,,15,,,0,,,,,,,,,7.5,2.5,-2.5,0,Mass,,,,,,,,,70.437073,0.000019,23.030941,0.000017,,,,,0,0.019,,,0,0,,,,,0,5/14/14
30 Ari B,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...507.1659G target=ref> Guenther et al. 2009 </a>,Radial Velocity,1,335.1,2.5,-2.5,0,0.995,0.012,-0.012,0,0.289,0.092,-0.092,0,,,,,9.88,0.94,-0.94,0,Msin(i),,,,,,,,,39.240585,0.000003,24.648064,0.000002,6300,60,-60,0,0,1.16,0.04,-0.04,0,0,1.13,0.03,-0.03,0,0,5/14/14
42 Dra,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...499..935D target=ref> Doellinger et al. 2009 </a>,Radial Velocity,1,479.1,6.2,-6.2,0,1.19,0.01,-0.01,0,0.38,0.06,-0.06,0,,,,,3.88,0.85,-0.85,0,Msin(i),,,,,,,,,276.496399,0.000001,65.563484,0.000001,4200,70,-70,0,0,0.98,0.05,-0.05,0,0,22.03,1,-1,0,0,5/14/14
47 UMa,b,1,<a href=http://adsabs.harvard.edu/abs/2010MNRAS.403..731G target=ref> Gregory &amp; Fischer 2010 </a>,Radial Velocity,3,1078,2,-2,0,2.1,0.02,-0.02,0,0.032,0.014,-0.014,0,,,,,2.53,0.07,-0.06,0,Msin(i),,,,,,,,,164.866562,0.000001,40.430256,0.000001,,,,,,,,,,,,,,,,5/14/14
47 UMa,c,1,<a href=http://adsabs.harvard.edu/abs/2010MNRAS.403..731G target=ref> Gregory &amp; Fischer 2010 </a>,Radial Velocity,3,2391,100,-87,0,3.6,0.1,-0.1,0,0.098,0.047,-0.096,0,,,,,0.54,0.066,-0.073,0,Msin(i),,,,,,,,,164.866562,0.000001,40.430256,0.000001,,,,,,,,,,,,,,,,5/14/14
47 UMa,d,1,<a href=http://adsabs.harvard.edu/abs/2010MNRAS.403..731G target=ref> Gregory &amp; Fischer 2010 </a>,Radial Velocity,3,14002,4018,-5095,0,11.6,2.1,-2.9,0,0.16,0.09,-0.16,0,,,,,1.64,0.29,-0.48,0,Msin(i),,,,,,,,,164.866562,0.000001,40.430256,0.000001,,,,,,,,,,,,,,,,5/14/14
4 UMa,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007A&A...472..649D target=ref> Dollinger et al. 2007 </a>,Radial Velocity,1,269.3,1.96,-1.96,0,0.87,0.04,-0.04,0,0.432,0.024,-0.024,0,,,,,7.1,1.6,-1.6,0,Msin(i),,,,,,,,,130.053406,0.000001,64.327934,0.000001,4415,70,-70,0,0,1.234,0.15,-0.15,0,0,18.11,1.47,-1.47,0,0,5/14/14
51 Peg,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...646..505B target=ref> Butler et al. 2006 </a>,Radial Velocity,1,4.230785,0.000036,-0.000036,0,0.0527,0.003,-0.003,0,0.013,0.012,-0.012,0,,,,,0.472,0.039,-0.039,0,Msin(i),,,,,,,,,344.366577,0.000002,20.768833,0.000001,,,,,,,,,,,,,,,,5/14/14
55 Cnc,b,0,<a href=http://adsabs.harvard.edu/abs/2012ApJ...759...19E target=ref> Endl et al. 2012 </a>,Radial Velocity,5,14.651,0.0001,-0.0001,0,0.1134,0.0006,-0.0006,0,0.004,0.003,-0.003,0,,,,,0.8,0.012,-0.012,0,Msin(i),,,,,,,,,133.149216,0.000002,28.330818,0.000002,,,,,,,,,,,,,,,,5/14/14
55 Cnc,c,0,<a href=http://adsabs.harvard.edu/abs/2012ApJ...759...19E target=ref> Endl et al. 2012 </a>,Radial Velocity,5,44.38,0.007,-0.007,0,0.237,0.0013,-0.0013,0,0.07,0.02,-0.02,0,,,,,0.165,0.0054,-0.0054,0,Msin(i),,,,,,,,,133.149216,0.000002,28.330818,0.000002,,,,,,,,,,,,,,,,5/14/14
55 Cnc,d,0,<a href=http://adsabs.harvard.edu/abs/2012ApJ...759...19E target=ref> Endl et al. 2012 </a>,Radial Velocity,5,4909,30,-30,0,5.47,0.06,-0.06,0,0.02,0.008,-0.008,0,,,,,3.53,0.08,-0.08,0,Msin(i),,,,,,,,,133.149216,0.000002,28.330818,0.000002,,,,,,,,,,,,,,,,5/14/14
55 Cnc,e,0,<a href=http://adsabs.harvard.edu/abs/2011arXiv1104.5230W target=ref> Winn et al. 2011 </a>,Radial Velocity,5,0.73654,0.000003,-0.000003,0,0.01583,0.0002,-0.0002,0,,,,,90,3.8,-3.8,0,0.027,0.001,-0.001,0,Mass,0.178,0.012,-0.012,0,5.9,1.5,-1.1,0,133.149216,0.000002,28.330818,0.000002,,,,,0,0.963,0.051,-0.029,0,0,0.94,0.01,-0.01,0,0,5/14/14
55 Cnc,f,0,<a href=http://adsabs.harvard.edu/abs/2012ApJ...759...19E target=ref> Endl et al. 2012 </a>,Radial Velocity,5,261.2,0.4,-0.4,0,0.77,0.005,-0.005,0,0.32,0.05,-0.05,0,,,,,0.172,0.008,-0.008,0,Msin(i),,,,,,,,,133.149216,0.000002,28.330818,0.000002,,,,,,,,,,,,,,,,5/14/14
61 Vir,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...708.1366V target=ref> Vogt et al. 2010 </a>,Radial Velocity,3,4.215,0.0006,-0.0006,0,0.050201,0.000005,-0.000005,0,0.12,0.11,-0.11,0,,,,,0.016,0.002,-0.002,0,Msin(i),,,,,,,,,199.601318,0.000002,-18.311195,0.000001,5577,33,-33,0,0,0.942,0.034,-0.029,0,0,0.96,0.01,-0.01,0,0,5/14/14
61 Vir,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...708.1366V target=ref> Vogt et al. 2010 </a>,Radial Velocity,3,38.021,0.034,-0.034,0,0.2175,0.0001,-0.0001,0,0.14,0.06,-0.06,0,,,,,0.057,0.003,-0.003,0,Msin(i),,,,,,,,,199.601318,0.000002,-18.311195,0.000001,5577,33,-33,0,0,0.942,0.034,-0.029,0,0,0.96,0.01,-0.01,0,0,5/14/14
61 Vir,d,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...708.1366V target=ref> Vogt et al. 2010 </a>,Radial Velocity,3,123.01,0.55,-0.55,0,0.476,0.001,-0.001,0,0.35,0.09,-0.09,0,,,,,0.072,0.008,-0.008,0,Msin(i),,,,,,,,,199.601318,0.000002,-18.311195,0.000001,5577,33,-33,0,0,0.942,0.034,-0.029,0,0,0.96,0.01,-0.01,0,0,5/14/14
70 Vir,b,0,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...646..505B target=ref> Butler et al. 2006 </a>,Radial Velocity,1,116.6884,0.0044,-0.0044,0,0.484,0.028,-0.028,0,0.4007,0.0035,-0.0035,0,,,,,7.49,0.61,-0.61,0,Mass,,,,,,,,,202.107544,0.000002,13.778788,0.000001,5545,,,0,0,1.11,,,0,0,,,,,0,5/14/14
7 CMa,b,0,<a href=http://adsabs.harvard.edu/abs/2011arXiv1111.1007W target=ref> Wittenmyer et al. 2011 </a>,Radial Velocity,1,763,17,-17,0,1.9,0.1,-0.1,0,0.14,0.06,-0.06,0,,,,,2.6,0.6,-0.6,0,Msin(i),,,,,,,,,99.17099,0.000001,-19.255878,0.000001,4792,100,-100,0,0,1.52,0.3,-0.3,0,0,2.3,0.1,-0.1,0,0,5/14/14
81 Cet,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008PASJ...60.1317S target=ref> Sato et al. 2008 </a>,Radial Velocity,1,952.7,8.8,-8.8,0,2.5,,,0,0.206,0.029,-0.029,0,,,,,5.3,,,0,Msin(i),,,,,,,,,39.424168,0.000002,-3.396175,0.000002,4785,25,-25,0,0,2.4,0.1,-0.4,0,0,11,2,-1,0,0,5/14/14
AB Pic,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2005A&A...438L..29C target=ref> Chauvin et al. 2005 </a>,Imaging,1,,,,,260,,,0,,,,,,,,,13.5,0.5,-0.5,0,Mass,,,,,,,,,94.803802,0.000002,-58.05431,0.000002,,,,,0,,,,,0,,,,,0,5/14/14
BD+15 2940,b,1,<a href=http://adsabs.harvard.edu/abs/2013ApJ...770...53N target=ref> Nowak et al. 2013 </a>,Radial Velocity,1,137.48,0.34,-0.34,0,0.539,,,0,0.26,0.1,-0.1,0,,,,,1.11,,,0,Msin(i),,,,,,,,,240.095566,0.000003,15.54693,0.000003,4796,117,-117,0,0,1.1,0.2,-0.2,0,0,14.7,2.8,-2.8,0,0,5/14/14
BD-06 1339,b,1,<a href=http://adsabs.harvard.edu/abs/2013A%26A...551A..59L target=ref> Lo Curto et al. 2013 </a>,Radial Velocity,2,3.8728,0.0004,-0.0004,0,0.0428,0.0007,-0.0007,0,0,,,0,,,,,0.027,0.004,-0.004,0,Msin(i),,,,,,,,,88.251183,0.000004,-5.994844,0.000003,4324,100,-100,0,0,0.7,,,0,0,,,,,0,5/14/14
BD-06 1339,c,1,<a href=http://adsabs.harvard.edu/abs/2013A%26A...551A..59L target=ref> Lo Curto et al. 2013 </a>,Radial Velocity,2,125.94,0.44,-0.44,0,0.435,0.007,-0.007,0,0.31,0.11,-0.11,0,,,,,0.17,0.03,-0.03,0,Msin(i),,,,,,,,,88.251183,0.000004,-5.994844,0.000003,4324,100,-100,0,0,0.7,,,0,0,,,,,0,5/14/14
BD-08 2823,b,1,<a href=http://adsabs.harvard.edu/abs/2010A%26A...512A..46H target=ref> H&eacute;brard et al. 2010 </a>,Radial Velocity,2,5.6,0.02,-0.02,0,0.056,0.002,-0.002,0,0.15,0.15,-0.15,0,,,,,0.045,0.007,-0.007,0,Msin(i),,,,,,,,,150.198837,0.000004,-9.51668,0.000003,4746,63,-63,0,0,0.74,0.07,-0.07,0,0,,,,,0,5/14/14
BD-08 2823,c,1,<a href=http://adsabs.harvard.edu/abs/2010A%26A...512A..46H target=ref> H&eacute;brard et al. 2010 </a>,Radial Velocity,2,237.6,1.5,-1.5,0,0.68,0.02,-0.02,0,0.19,0.09,-0.09,0,,,,,0.33,0.03,-0.03,0,Msin(i),,,,,,,,,150.198837,0.000004,-9.51668,0.000003,4746,63,-63,0,0,0.74,0.07,-0.07,0,0,,,,,0,5/14/14
BD-17 63,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...496..513M target=ref> Moutou et al. 2009 </a>,Radial Velocity,1,655.6,0.6,-0.6,0,1.34,0.02,-0.02,0,0.54,0.005,-0.005,0,,,,,5.1,0.12,-0.12,0,Msin(i),,,,,,,,,7.142942,0.000004,-16.226345,0.000002,4714,93,-93,0,0,0.74,0.03,-0.03,0,0,0.69,,,0,0,5/14/14
BD+14 4559,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...707..768N target=ref> Niedzielski et al. 2009 </a>,Radial Velocity,1,268.94,0.99,-0.99,0,0.777,,,0,0.29,0.03,-0.03,0,,,,,1.47,,,0,Msin(i),,,,,,,,,318.399963,0.000004,14.689387,0.000003,5008,20,-20,0,0,0.86,0.15,-0.15,0,0,0.95,0.2,-0.2,0,0,5/14/14
BD+20 2457,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...707..768N target=ref> Niedzielski et al. 2009 </a>,Radial Velocity,2,379.63,2.01,-2.01,0,1.45,,,0,0.15,0.03,-0.03,0,,,,,21.42,,,0,Msin(i),,,,,,,,,154.18691,0.000022,19.891409,0.000017,4137,10,-10,0,0,2.8,1.5,-1.5,0,0,49,26,-26,0,0,5/14/14
BD+20 2457,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...707..768N target=ref> Niedzielski et al. 2009 </a>,Radial Velocity,2,621.99,10.2,-10.2,0,2.01,,,0,0.18,0.06,-0.06,0,,,,,12.47,,,0,Msin(i),,,,,,,,,154.18691,0.000022,19.891409,0.000017,4137,10,-10,0,0,2.8,1.5,-1.5,0,0,49,26,-26,0,0,5/14/14
CFBDSIR J145829+101343,b,1,<a href=http://adsabs.harvard.edu/abs/2011ApJ...740..108L target=ref> Liu et al. 2011 </a>,Imaging,1,10037.5,2737.5,-2737.5,0,2.6,0.3,-0.3,0,,,,,,,,,10.5,4.5,-4.5,0,Mass,,,,,,,,,224.620833,0,10.228611,0,580.5,24.5,-24.5,0,0,0.021,0.009,-0.009,0,0,,,,,0,5/14/14
CHXR 73,b,1,<a href=http://adsabs.harvard.edu/abs/2006ApJ...649..894L target=ref> Luhman et al. 2006 </a>,Imaging,1,,,,,210,,,0,,,,,,,,,12.569,8.379,-5.237,0,Mass,,,,,,,,,166.619893,0.000019,-77.625877,0.000017,,,,,0,0.35,,,0,0,,,,,0,5/14/14
CT Cha,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008A&A...491..311S target=ref> Schmidt et al. 2008 </a>,Imaging,1,,,,,440,,,0,,,,,,,,,17,6,-6,0,Mass,2.2,0.81,-0.6,0,,,,,166.037877,0.000067,-76.455383,0.000019,,,,,0,,,,,0,,,,,0,5/14/14
CoRoT-1,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008A&A...482L..17B target=ref> Barge et al. 2008 </a>,Transit,1,1.5089557,0.0000064,-0.0000064,0,,,,,0,,,0,85.1,0.5,-0.5,0,1.03,0.12,-0.12,0,Mass,1.49,0.08,-0.08,0,0.38,0.05,-0.05,0,102.079885,0.000017,-3.102147,0.000017,5950,150,-150,0,0,0.95,0.15,-0.15,0,0,1.11,0.05,-0.05,0,0,5/14/14
CoRoT-10,b,1,<a href=http://adsabs.harvard.edu/abs/2010A%26A...520A..65B target=ref> Bonomo et al. 2010 </a>,Transit,1,13.2406,0.0002,-0.0002,0,0.1055,0.0021,-0.0021,0,0.53,0.04,-0.04,0,88.55,0.2,-0.2,0,2.75,0.16,-0.16,0,Mass,0.97,0.07,-0.07,0,3.7,0.83,-0.83,0,291.063708,0.000017,0.746143,0.000017,5075,75,-75,0,0,0.89,0.05,-0.05,0,0,0.79,0.05,-0.05,0,0,5/14/14
CoRoT-11,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010A%26A...524A..55G target=ref> Gandolfi et al. 2010 </a>,Transit,1,2.99433,0.000011,-0.000011,0,0.0436,0.005,-0.005,0,0,,,0,83.17,0.15,-0.15,0,2.33,0.34,-0.34,0,Mass,1.43,0.03,-0.03,0,0.99,0.15,-0.15,0,280.687263,0.000019,5.937688,0.000017,6440,120,-120,0,0,1.27,0.05,-0.05,0,0,1.37,0.03,-0.03,0,0,5/14/14
CoRoT-12,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010A%26A...520A..97G target=ref> Gillon et al. 2010 </a>,Transit,1,2.828042,0.000013,-0.000013,0,0.04016,0.00093,-0.00092,0,0.07,0.063,-0.042,0,85.48,0.72,-0.77,0,0.917,0.07,-0.065,0,Mass,1.44,0.13,-0.13,0,0.411,0.129,-0.094,0,100.765677,0.000017,-1.296439,0.000017,5675,80,-80,0,0,1.078,0.077,-0.072,0,0,1.12,0.1,-0.09,0,0,5/14/14
CoRoT-13,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010A%26A...522A.110C target=ref> Cabrera et al. 2010 </a>,Transit,1,4.03519,0.00003,-0.00003,0,0.051,0.0031,-0.0031,0,0,,,0,88.02,0.34,-0.36,0,1.308,0.066,-0.066,0,Mass,0.885,0.014,-0.014,0,2.34,0.23,-0.23,0,102.721137,0.000017,-5.086445,0.000017,5945,90,-90,0,0,1.09,0.02,-0.02,0,0,1.01,0.03,-0.03,0,0,5/14/14
CoRoT-14,b,1,<a href=http://adsabs.harvard.edu/abs/2011A%26A...528A..97T target=ref> Tingley et al. 2011 </a>,Transit,1,1.51214,0.00013,-0.00013,0,0.027,0.002,-0.002,0,0,,,0,79.6,0.8,-0.8,0,7.6,0.6,-0.6,0,Mass,1.09,0.07,-0.07,0,7.3,1.5,-1.5,0,103.424211,0.000017,-5.536037,0.000017,6035,100,-100,0,0,1.13,0.09,-0.09,0,0,1.21,0.08,-0.08,0,0,5/14/14
CoRoT-16,b,1,<a href=http://adsabs.harvard.edu/abs/2012A%26A...541A.149O target=ref> Ollivier et al. 2012 </a>,Transit,1,5.35227,0.0002,-0.0002,0,0.0618,0.0015,-0.0015,0,0.33,0.09,-0.1,0,85.01,0.94,-1.2,0,0.535,0.085,-0.083,0,Mass,1.17,0.16,-0.14,0,0.44,0.21,-0.14,0,278.524691,0.000017,-6.002595,0.000017,5650,100,-100,0,0,1.098,0.082,-0.078,0,0,1.19,0.14,-0.13,0,0,5/14/14
