rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbperlim,pl_orbsmax,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenlim,pl_orbincl,pl_orbincllim,pl_bmassj,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjlim,pl_dens,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefflim,st_teffblend,st_mass,st_masslim,st_massblend,st_rad,st_radlim,st_radblend,TEFF_COLOR,PL_TYPE,PA
    1283,       86614,b,Direct Imaging,           3,      1056.42,       0,      2.39407,       0,      0.00000,       0,     -134.788,       0,   0.00617364,       0,Mass,     0.111681,       0, , ,       0,       0,       0,       0,17h41m56.36s,      265.485,+72d08m55.8s,      72.1488,      22.0361,       0,      4.57000,       0,       0,       0,V (Johnson),      6568.60,       0,       0,      1.64028,       0,       0,      1.92253,       0,       0, ,Warm_Earth,      201.979
    1284,       86614,c,Direct Imaging,           3,      27410.0,       0,      20.9822,       0,      0.00000,       0,     -135.983,       0,    0.0316508,       0,Mass,     0.259198,       0, , ,       0,       0,       0,       0,17h41m56.36s,      265.485,+72d08m55.8s,      72.1488,      22.0361,       0,      4.57000,       0,       0,       0,V (Johnson),      6568.60,       0,       0,      1.64028,       0,       0,      1.92253,       0,       0, ,Cold_Neptune,      201.979
    1285,       86620,a,Direct Imaging,           4,      139.619,       0,     0.560339,       0,      0.00000,       0,      136.318,       0,  0.000456858,       0,Mass,    0.0468877,       0, , ,       0,       0,       0,       0,17h41m58.10s,      265.492,+72d09m24.9s,      72.1569,      22.3214,       0,      5.81000,       0,       0,       0,V (Johnson),      6158.00,       0,       0,      1.20405,       0,       0,      1.23472,       0,       0, ,Hot_Earth,      304.028
    1286,       86620,b,Direct Imaging,           4,      156.842,       0,     0.605522,       0,      0.00000,       0,      135.100,       0,   0.00155158,       0,Mass,    0.0704784,       0, , ,       0,       0,       0,       0,17h41m58.10s,      265.492,+72d09m24.9s,      72.1569,      22.3214,       0,      5.81000,       0,       0,       0,V (Johnson),      6158.00,       0,       0,      1.20405,       0,       0,      1.23472,       0,       0, ,Hot_Earth,      304.028
    1287,       86620,c,Direct Imaging,           4,      177.968,       0,     0.658743,       0,      0.00000,       0,      134.407,       0,    0.0222115,       0,Mass,     0.211710,       0, , ,       0,       0,       0,       0,17h41m58.10s,      265.492,+72d09m24.9s,      72.1569,      22.3214,       0,      5.81000,       0,       0,       0,V (Johnson),      6158.00,       0,       0,      1.20405,       0,       0,      1.23472,       0,       0, ,Hot_Neptune,      304.028
    1288,       86620,d,Direct Imaging,           4,      26.4813,       0,     0.184976,       0,      0.00000,       0,      134.118,       0,    0.0461692,       0,Mass,     0.321608,       0, , ,       0,       0,       0,       0,17h41m58.10s,      265.492,+72d09m24.9s,      72.1569,      22.3214,       0,      5.81000,       0,       0,       0,V (Johnson),      6158.00,       0,       0,      1.20405,       0,       0,      1.23472,       0,       0, ,Hot_Neptune,      304.028
    1289,       86796,a,Direct Imaging,           3,      984.754,       0,      2.05364,       0,      0.00000,       0,      88.2534,       0,  0.000956089,       0,Mass,    0.0599742,       0, , ,       0,       0,       0,       0,17h44m08.70s,      266.036,-51d50m02.6s,     -51.8341,      15.2765,       0,      5.12000,       0,       0,       0,V (Johnson),      5577.00,       0,       0,      1.19151,       0,       0,      1.41087,       0,       0, ,Warm_Earth,      73.2481
    1290,       86796,b,Direct Imaging,           3,      13790.3,       0,      11.9313,       0,      0.00000,       0,      83.5448,       0,  0.000704988,       0,Mass,    0.0541825,       0, , ,       0,       0,       0,       0,17h44m08.70s,      266.036,-51d50m02.6s,     -51.8341,      15.2765,       0,      5.12000,       0,       0,       0,V (Johnson),      5577.00,       0,       0,      1.19151,       0,       0,      1.41087,       0,       0, ,Cold_Earth,      73.2481
    1291,       86796,c,Direct Imaging,           3,      2351.95,       0,      3.66937,       0,      0.00000,       0,      84.8229,       0,    0.0260767,       0,Mass,     0.232036,       0, , ,       0,       0,       0,       0,17h44m08.70s,      266.036,-51d50m02.6s,     -51.8341,      15.2765,       0,      5.12000,       0,       0,       0,V (Johnson),      5577.00,       0,       0,      1.19151,       0,       0,      1.41087,       0,       0, ,Cold_Neptune,      73.2481
    1292,       87108,a,Direct Imaging,           3,      56.8180,       0,     0.388950,       0,      0.00000,       0,     -84.0014,       0,  0.000430258,       0,Mass,    0.0459594,       0, , ,       0,       0,       0,       0,17h47m53.56s,      266.973,+02d42m26.2s,      2.70728,      29.0529,       0,      3.75000,       0,       0,       0,V (Johnson),      8993.00,       0,       0,      2.43158,       0,       0,      1.93452,       0,       0, ,Hot_Earth,      331.759
    1293,       87108,b,Direct Imaging,           3,      331.644,       0,      1.26091,       0,      0.00000,       0,     -84.6175,       0,   0.00121944,       0,Mass,    0.0650407,       0, , ,       0,       0,       0,       0,17h47m53.56s,      266.973,+02d42m26.2s,      2.70728,      29.0529,       0,      3.75000,       0,       0,       0,V (Johnson),      8993.00,       0,       0,      2.43158,       0,       0,      1.93452,       0,       0, ,Hot_Earth,      331.759
    1294,       87108,c,Direct Imaging,           3,      23579.6,       0,      21.6402,       0,      0.00000,       0,     -86.2876,       0,     0.154275,       0,Mass,     0.458724,       0, , ,       0,       0,       0,       0,17h47m53.56s,      266.973,+02d42m26.2s,      2.70728,      29.0529,       0,      3.75000,       0,       0,       0,V (Johnson),      8993.00,       0,       0,      2.43158,       0,       0,      1.93452,       0,       0, ,Cold_Jupiter,      331.759
    1295,       88175,a,Direct Imaging,           3,      50.6278,       0,     0.317197,       0,      0.00000,       0,     -104.500,       0,   0.00293965,       0,Mass,    0.0872094,       0, , ,       0,       0,       0,       0,18h00m29.01s,      270.121,-03d41m25.0s,     -3.69027,      23.1965,       0,      4.62000,       0,       0,       0,V (Johnson),      6771.00,       0,       0,      1.66107,       0,       0,      1.87102,       0,       0, ,Hot_Earth,      101.347
    1296,       88175,b,Direct Imaging,           3,      3366.10,       0,      5.20580,       0,      0.00000,       0,     -107.722,       0,   0.00383076,       0,Mass,    0.0952562,       0, , ,       0,       0,       0,       0,18h00m29.01s,      270.121,-03d41m25.0s,     -3.69027,      23.1965,       0,      4.62000,       0,       0,       0,V (Johnson),      6771.00,       0,       0,      1.66107,       0,       0,      1.87102,       0,       0, ,Cold_Earth,      101.347
    1297,       88175,c,Direct Imaging,           3,      105.667,       0,     0.518039,       0,      0.00000,       0,     -106.689,       0,    0.0114011,       0,Mass,     0.144623,       0, , ,       0,       0,       0,       0,18h00m29.01s,      270.121,-03d41m25.0s,     -3.69027,      23.1965,       0,      4.62000,       0,       0,       0,V (Johnson),      6771.00,       0,       0,      1.66107,       0,       0,      1.87102,       0,       0, ,Hot_Neptune,      101.347
    1298,       88348,a,Direct Imaging,           4,      8.77996,       0,    0.0807478,       0,      0.00000,       0,     -140.154,       0,   0.00243348,       0,Mass,    0.0818855,       0, , ,       0,       0,       0,       0,18h02m30.86s,      270.629,+26d18m46.8s,      26.3130,      21.9250,       0,      7.01000,       0,       0,       0,V (Johnson),      5284.50,       0,       0,     0.911146,       0,       0,     0.969292,       0,       0, ,Hot_Earth,      199.882
    1299,       88348,b,Direct Imaging,           4,      7.96553,       0,    0.0756738,       0,      0.00000,       0,     -143.882,       0,  0.000513759,       0,Mass,    0.0487586,       0, , ,       0,       0,       0,       0,18h02m30.86s,      270.629,+26d18m46.8s,      26.3130,      21.9250,       0,      7.01000,       0,       0,       0,V (Johnson),      5284.50,       0,       0,     0.911146,       0,       0,     0.969292,       0,       0, ,Hot_Earth,      199.882
    1300,       88348,c,Direct Imaging,           4,      357.433,       0,     0.955577,       0,      0.00000,       0,     -139.540,       0,   0.00436060,       0,Mass,    0.0994597,       0, , ,       0,       0,       0,       0,18h02m30.86s,      270.629,+26d18m46.8s,      26.3130,      21.9250,       0,      7.01000,       0,       0,       0,V (Johnson),      5284.50,       0,       0,     0.911146,       0,       0,     0.969292,       0,       0, ,Warm_Earth,      199.882
    1301,       88348,d,Direct Imaging,           4,      1178.61,       0,      2.11698,       0,      0.00000,       0,     -141.087,       0,   0.00997810,       0,Mass,     0.134015,       0, , ,       0,       0,       0,       0,18h02m30.86s,      270.629,+26d18m46.8s,      26.3130,      21.9250,       0,      7.01000,       0,       0,       0,V (Johnson),      5284.50,       0,       0,     0.911146,       0,       0,     0.969292,       0,       0, ,Cold_Neptune,      199.882
    1302,       88574,a,Direct Imaging,           5,      18.4630,       0,     0.100251,       0,      0.00000,       0,      93.1715,       0,  0.000814444,       0,Mass,    0.0568528,       0, , ,       0,       0,       0,       0,18h05m07.58s,      271.282,-03d01m52.7s,     -3.03132,      7.79545,       0,      9.37000,       0,       0,       0,V (Johnson),      3967.60,       0,       0,     0.394314,       0,       0,     0.464094,       0,       0, ,Hot_Earth,      334.686
    1303,       88574,b,Direct Imaging,           5,      16.0214,       0,    0.0912057,       0,      0.00000,       0,      96.3318,       0,   0.00299898,       0,Mass,    0.0877922,       0, , ,       0,       0,       0,       0,18h05m07.58s,      271.282,-03d01m52.7s,     -3.03132,      7.79545,       0,      9.37000,       0,       0,       0,V (Johnson),      3967.60,       0,       0,     0.394314,       0,       0,     0.464094,       0,       0, ,Hot_Earth,      334.686
    1304,       88574,c,Direct Imaging,           5,      60.6510,       0,     0.221537,       0,      0.00000,       0,      95.9891,       0,  0.000738992,       0,Mass,    0.0550400,       0, , ,       0,       0,       0,       0,18h05m07.58s,      271.282,-03d01m52.7s,     -3.03132,      7.79545,       0,      9.37000,       0,       0,       0,V (Johnson),      3967.60,       0,       0,     0.394314,       0,       0,     0.464094,       0,       0, ,Warm_Earth,      334.686
    1305,       88574,d,Direct Imaging,           5,      1.93576,       0,    0.0222906,       0,      0.00000,       0,      96.3268,       0,    0.0269831,       0,Mass,     0.236611,       0, , ,       0,       0,       0,       0,18h05m07.58s,      271.282,-03d01m52.7s,     -3.03132,      7.79545,       0,      9.37000,       0,       0,       0,V (Johnson),      3967.60,       0,       0,     0.394314,       0,       0,     0.464094,       0,       0, ,Hot_Neptune,      334.686
