rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbperlim,pl_orbsmax,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenlim,pl_orbincl,pl_orbincllim,pl_bmassj,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjlim,pl_dens,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefflim,st_teffblend,st_mass,st_masslim,st_massblend,st_rad,st_radlim,st_radblend
733,KOI-94,b,Transit,4,3.743208,0,0.05119,0,0.25,0,89.3,0,0.033,0,Mass,0.153,0,10.1,0,0,1,0,1,19h49m19.93s,297.333057,+41d53m28.0s,41.891117,,,12.205,,0,0,Kepler-band,6182,0,0,1.28,0,0,1.52,0,0
734,KOI-94,c,Transit,4,10.423648,0,0.1013,0,0.43,0,88.36,0,0.049,0,Mass,0.385,0,0.91,0,1,1,0,2,19h49m19.93s,297.333057,+41d53m28.0s,41.891117,,,12.205,,0,0,Kepler-band,6182,0,0,1.28,0,0,1.52,0,0
735,KOI-94,d,Transit,4,22.342989,0,0.1684,0,0.022,0,89.871,0,0.334,0,Mass,1.005,0,0.363,0,1,1,0,2,19h49m19.93s,297.333057,+41d53m28.0s,41.891117,,,12.205,,0,0,Kepler-band,6182,0,0,1.28,0,0,1.52,0,0
736,KOI-94,e,Transit,4,54.32031,0,0.3046,0,0.019,0,89.76,0,0.11,0,Mass,0.585,0,0.6,0,1,1,0,2,19h49m19.93s,297.333057,+41d53m28.0s,41.891117,,,12.205,,0,0,Kepler-band,6182,0,0,1.28,0,0,1.52,0,0
737,Kapteyn,c,Radial Velocity,1,121.54,0,0.311,0,0.23,0,,,0.022,0,Msini,,,,,0,0,0,0,05h11m40.58s,77.91909,-45d01m06.3s,-45.018414,3.92,0,8.845,,0,0,V (Johnson),3550,0,0,0.28,0,0,0.29,0,0
738,Kepler-10,b,Transit,2,0.837491,0,0.0172,0,,,85.1,0,0.0145,0,Mass,0.132,0,8,0,0,1,0,2,19h02m43.05s,285.679394,+50d14m28.7s,50.241299,173,0,10.94,0.345,0,0,V (Johnson),5627,0,0,0.91,0,0,1.06,0,0
739,Kepler-10,c,Transit,2,45.294301,0,,,0,0,89.59,0,0.054,0,Mass,0.21,0,7.1,0,1,1,0,2,19h02m43.05s,285.679394,+50d14m28.7s,50.241299,173,0,10.94,0.345,0,0,V (Johnson),5627,0,0,0.91,0,0,1.06,0,0
740,Kepler-100,b,Transit,3,6.88705,0,,,,,,,0.023,0,Mass,0.118,0,14.25,0,0,1,0,1,19h25m32.63s,291.385979,+41d59m25.0s,41.990273,,,11.197,,0,0,Kepler-band,5825,0,0,1.08,0,0,1.49,0,0
741,Kepler-100,c,Transit,3,12.8159,0,,,,,,,0.003,0,Mass,0.196,0,0.35,0,0,1,0,1,19h25m32.63s,291.385979,+41d59m25.0s,41.990273,,,11.197,,0,0,Kepler-band,5825,0,0,1.08,0,0,1.49,0,0
742,Kepler-100,d,Transit,3,35.3331,0,,,,,,,0.009,1,Mass,0.144,0,,,0,1,0,1,19h25m32.63s,291.385979,+41d59m25.0s,41.990273,,,11.197,,0,0,Kepler-band,5825,0,0,1.08,0,0,1.49,0,0
743,Kepler-1000,b,Transit,1,120.0181272,0,,,,,,,,,,0.425,0,,,0,1,0,1,19h06m44.53s,286.685523,+47d05m53.6s,47.098221,925,0,13.256,,0,0,Kepler-band,6453,0,0,1.4,0,0,1.51,0,0
744,Kepler-1001,b,Transit,1,14.30511983,0,,,,,,,,,,0.281,0,,,0,1,0,1,19h05m05.73s,286.273871,+48d37m07.3s,48.618706,1009,0,15.338,,0,0,Kepler-band,5491,0,0,0.9,0,0,0.88,0,0
745,Kepler-1002,b,Transit,1,4.33642933,0,,,,,,,,,,0.153,0,,,0,1,0,1,19h32m19.08s,293.079495,+43d04m25.4s,43.073715,425,0,11.704,,0,0,Kepler-band,6144,0,0,1.22,0,0,1.57,0,0
746,Kepler-1003,b,Transit,1,3.55485691,0,,,,,,,,,,0.159,0,,,0,1,0,1,19h28m04.91s,292.020456,+44d52m34.4s,44.876217,873,0,14.053,,0,0,Kepler-band,6109,0,0,1.11,0,0,1.17,0,0
747,Kepler-1004,b,Transit,1,5.28789787,0,,,,,,,,,,0.56,0,,,0,1,0,1,19h49m26.23s,297.359299,+49d47m51.2s,49.79755,1080,0,13.427,,0,0,Kepler-band,4972,0,0,1.11,0,0,3.39,0,0
748,Kepler-1005,b,Transit,1,6.49801525,0,,,,,,,,,,0.134,0,,,0,1,0,1,19h05m08.64s,286.286014,+43d19m13.7s,43.320461,515,0,13.25,,0,0,Kepler-band,5782,0,0,1,0,0,1.06,0,0
749,Kepler-1006,b,Transit,1,19.76172042,0,,,,,,,,,,0.137,0,,,0,1,0,1,19h43m00.99s,295.754127,+42d32m14.9s,42.537476,496,0,14.563,,0,0,Kepler-band,5328,0,0,0.78,0,0,0.74,0,0
750,Kepler-1007,b,Transit,1,5.18500207,0,,,,,,,,,,0.128,0,,,0,1,0,1,19h43m37.57s,295.906552,+45d48m32.8s,45.80912,365,0,14.744,,0,0,Kepler-band,4587,0,0,0.73,0,0,0.7,0,0
751,Kepler-1008,b,Transit,1,12.43931193,0,,,,,,,,,,0.114,0,,,0,1,0,1,19h46m11.41s,296.547525,+44d56m31.0s,44.941933,299,0,13.395,,0,0,Kepler-band,5066,0,0,0.81,0,0,0.78,0,0
752,Kepler-1009,b,Transit,1,11.35011917,0,,,,,,,,,,0.194,0,,,0,1,0,1,18h51m26.38s,282.85993,+42d39m56.8s,42.665764,281,0,15.278,,0,0,Kepler-band,4027,0,0,0.59,0,0,0.57,0,0
753,Kepler-101,b,Transit,2,3.4876812,0,0.0474,0,0.086,0,85.82,0,0.16,0,Mass,0.51,0,1.45,0,0,1,0,1,18h53m01.32s,283.255489,+48d21m18.8s,48.355228,,,13.8,,0,0,V (Johnson),5667,0,0,1.17,0,0,1.56,0,0
754,Kepler-101,c,Transit,2,6.02976,0,0.0684,0,0,0,84.6,0,0.01,1,Mass,0.112,0,10.5,1,0,1,0,1,18h53m01.32s,283.255489,+48d21m18.8s,48.355228,,,13.8,,0,0,V (Johnson),5667,0,0,1.17,0,0,1.56,0,0
755,Kepler-1010,b,Transit,1,34.2685705,0,,,,,,,,,,0.207,0,,,0,1,0,1,19h16m46.23s,289.192636,+44d08m57.6s,44.149326,610,0,14.685,,0,0,Kepler-band,5253,0,0,0.86,0,0,0.82,0,0
756,Kepler-1011,b,Transit,1,5.75322197,0,,,,,,,,,,0.256,0,,,0,1,0,1,19h49m36.37s,297.401546,+46d49m26.4s,46.824001,860,0,15.196,,0,0,Kepler-band,5416,0,0,0.91,0,0,0.88,0,0
757,Kepler-1012,b,Transit,1,5.50860439,0,,,,,,,,,,0.115,0,,,0,1,0,1,19h17m11.10s,289.29627,+46d27m28.6s,46.457954,420,0,13.317,,0,0,Kepler-band,5556,0,0,0.95,0,0,0.91,0,0
758,Kepler-1013,b,Transit,1,18.93054959,0,,,,,,,,,,0.192,0,,,0,1,0,1,19h20m59.54s,290.248072,+44d26m06.9s,44.435242,433,0,14.417,,0,0,Kepler-band,4954,0,0,0.81,0,0,0.76,0,0
759,Kepler-1014,b,Transit,1,16.57110363,0,,,,,,,,,,0.213,0,,,0,1,0,1,19h00m29.29s,285.122033,+44d06m38.2s,44.110603,672,0,14.64,,0,0,Kepler-band,5388,0,0,0.88,0,0,0.84,0,0
760,Kepler-1015,b,Transit,1,16.00494214,0,,,,,,,,,,0.317,0,,,0,1,0,1,19h31m01.76s,292.75733,+43d25m36.9s,43.42691,932,0,12.818,,0,0,Kepler-band,6769,0,0,1.49,0,0,1.81,0,0
761,Kepler-1016,b,Transit,2,1.95452434,0,,,,,,,,,,0.194,0,,,0,1,0,1,19h38m27.27s,294.613645,+45d59m04.6s,45.984623,1239,0,15.356,,0,0,Kepler-band,5821,0,0,0.99,0,0,1,0,0
762,Kepler-1016,c,Transit,2,105.6551369,0,,,,,,,,,,0.328,0,,,0,1,0,1,19h38m27.27s,294.613645,+45d59m04.6s,45.984623,1239,0,15.356,,0,0,Kepler-band,5821,0,0,0.99,0,0,1,0,0
763,Kepler-1017,b,Transit,1,7.23400469,0,,,,,,,,,,0.178,0,,,0,1,0,1,18h53m52.65s,283.469362,+40d07m57.4s,40.132607,554,0,14.139,,0,0,Kepler-band,5473,0,0,0.93,0,0,0.87,0,0
764,Kepler-1018,b,Transit,1,49.1013514,0,,,,,,,,,,0.23,0,,,0,1,0,1,18h54m23.21s,283.596696,+45d24m28.4s,45.407879,894,0,15.041,,0,0,Kepler-band,5518,0,0,0.91,0,0,0.88,0,0
765,Kepler-1019,b,Transit,1,1.41122985,0,,,,,,,,,,0.13,0,,,0,1,0,1,18h54m52.21s,283.717526,+47d12m16.0s,47.204449,198,0,13.59,,0,0,Kepler-band,4433,0,0,0.7,0,0,0.67,0,0
766,Kepler-102,b,Transit,5,5.28696,0,,,,,,,0.001,0,Mass,0.042,0,23.29,0,0,1,0,1,18h45m55.86s,281.482749,+47d12m28.9s,47.208031,,,11.492,,0,0,Kepler-band,4909,0,0,0.81,0,0,0.76,0,0
767,Kepler-102,c,Transit,5,7.07142,0,,,,,,,0.009,1,Mass,0.052,0,,,0,1,0,1,18h45m55.86s,281.482749,+47d12m28.9s,47.208031,,,11.492,,0,0,Kepler-band,4909,0,0,0.81,0,0,0.76,0,0
768,Kepler-102,d,Transit,5,10.3117,0,,,,,,,0.012,0,Mass,0.105,0,13.27,0,0,1,0,1,18h45m55.86s,281.482749,+47d12m28.9s,47.208031,,,11.492,,0,0,Kepler-band,4909,0,0,0.81,0,0,0.76,0,0
769,Kepler-102,e,Transit,5,16.1457,0,,,,,,,0.028,0,Mass,0.198,0,4.68,0,0,1,0,1,18h45m55.86s,281.482749,+47d12m28.9s,47.208031,,,11.492,,0,0,Kepler-band,4909,0,0,0.81,0,0,0.76,0,0
770,Kepler-102,f,Transit,5,27.4536,0,,,,,,,0.002,0,Mass,0.079,0,4.92,0,0,1,0,1,18h45m55.86s,281.482749,+47d12m28.9s,47.208031,,,11.492,,0,0,Kepler-band,4909,0,0,0.81,0,0,0.76,0,0
771,Kepler-1020,b,Transit,1,96.9151496,0,,,,,,,,,,0.203,0,,,0,1,0,1,19h30m41.41s,292.672551,+46d22m38.7s,46.377422,446,0,14.031,,0,0,Kepler-band,5227,0,0,0.87,0,0,0.8,0,0
772,Kepler-1021,b,Transit,1,13.47469571,0,,,,,,,,,,0.208,0,,,0,1,0,1,19h40m49.18s,295.204905,+42d33m34.9s,42.559681,837,0,15.164,,0,0,Kepler-band,5431,0,0,0.89,0,0,0.86,0,0
773,Kepler-1022,b,Transit,1,10.99469878,0,,,,,,,,,,0.211,0,,,0,1,0,1,19h17m24.48s,289.352005,+46d58m25.4s,46.973728,455,0,15.389,,0,0,Kepler-band,4445,0,0,0.71,0,0,0.68,0,0
774,Kepler-1023,b,Transit,1,62.1387714,0,,,,,,,,,,0.235,0,,,0,1,0,1,19h16m07.14s,289.029742,+49d46m10.9s,49.769707,686,0,14.52,,0,0,Kepler-band,5494,0,0,0.93,0,0,0.89,0,0
775,Kepler-1024,b,Transit,1,66.4162133,0,,,,,,,,,,0.349,0,,,0,1,0,1,19h27m48.24s,291.950991,+38d15m06.1s,38.251698,1017,0,15.983,,0,0,Kepler-band,5143,0,0,0.81,0,0,0.78,0,0
776,Kepler-1025,b,Transit,1,37.3229493,0,,,,,,,,,,0.177,0,,,0,1,0,1,18h58m02.45s,284.510201,+43d57m42.0s,43.961666,716,0,13.573,,0,0,Kepler-band,6089,0,0,1.09,0,0,1.13,0,0
777,Kepler-1026,b,Transit,1,36.5156053,0,,,,,,,,,,0.197,0,,,0,1,0,1,18h54m25.26s,283.605263,+39d59m52.7s,39.99798,389,0,14.254,,0,0,Kepler-band,4948,0,0,0.79,0,0,0.75,0,0
778,Kepler-1027,b,Transit,1,1.9078052,0,,,,,,,,,,0.079,0,,,0,1,0,1,19h10m17.08s,287.571185,+42d48m50.1s,42.813923,291,0,12.852,,0,0,Kepler-band,5436,0,0,0.91,0,0,0.82,0,0
779,Kepler-1028,b,Transit,1,2.51462432,0,,,,,,,,,,0.119,0,,,0,1,0,1,19h18m22.34s,289.593097,+49d46m52.2s,49.781158,633,0,14.325,,0,0,Kepler-band,5522,0,0,0.9,0,0,0.87,0,0
780,Kepler-1029,b,Transit,1,4.41769648,0,,,,,,,,,,0.112,0,,,0,1,0,1,19h28m31.91s,292.132976,+41d32m51.1s,41.54754,422,0,14.31,,0,0,Kepler-band,5030,0,0,0.82,0,0,0.77,0,0
781,Kepler-103,b,Transit,2,15.9654,0,,,,,,,0.031,0,Mass,0.301,0,1.38,0,1,1,0,1,19h15m56.29s,288.984555,+40d03m52.3s,40.064521,,,12.287,,0,0,Kepler-band,5845,0,0,1.09,0,0,1.44,0,0
782,Kepler-103,c,Transit,2,179.612,0,,,,,,,0.114,0,Mass,0.459,0,1.47,0,1,1,0,1,19h15m56.29s,288.984555,+40d03m52.3s,40.064521,,,12.287,,0,0,Kepler-band,5845,0,0,1.09,0,0,1.44,0,0
783,Kepler-1030,b,Transit,1,19.32952416,0,,,,,,,,,,0.221,0,,,0,1,0,1,19h34m43.66s,293.681915,+45d49m03.2s,45.817559,795,0,15.719,,0,0,Kepler-band,4983,0,0,0.8,0,0,0.76,0,0
784,Kepler-1031,b,Transit,1,1.22621732,0,,,,,,,,,,0.078,0,,,0,1,0,1,19h44m21.54s,296.089747,+48d57m19.4s,48.955376,741,0,13.8,,0,0,Kepler-band,6011,0,0,1.09,0,0,1.12,0,0
785,Kepler-1032,b,Transit,1,3.29011795,0,,,,,,,,,,0.167,0,,,0,1,0,1,19h19m43.41s,289.930872,+40d05m51.9s,40.097751,607,0,15.753,,0,0,Kepler-band,4647,0,0,0.77,0,0,0.71,0,0
786,Kepler-1033,b,Transit,1,7.56052806,0,,,,,,,,,,0.224,0,,,0,1,0,1,18h55m22.83s,283.845142,+44d36m32.7s,44.609093,1425,0,15.986,,0,0,Kepler-band,5547,0,0,0.94,0,0,0.92,0,0
787,Kepler-1034,b,Transit,1,12.12400943,0,,,,,,,,,,0.202,0,,,0,1,0,1,19h04m27.69s,286.115368,+37d58m01.2s,37.966997,706,0,15.09,,0,0,Kepler-band,5198,0,0,0.83,0,0,0.8,0,0
788,Kepler-1035,b,Transit,1,2.71407755,0,,,,,,,,,,0.104,0,,,0,1,0,1,19h16m10.13s,289.042225,+42d52m57.0s,42.882488,408,0,12.987,,0,0,Kepler-band,5763,0,0,0.98,0,0,0.97,0,0
789,Kepler-1036,b,Transit,1,122.8808058,0,,,,,,,,,,0.269,0,,,0,1,0,1,19h40m43.59s,295.181638,+49d56m44.8s,49.945786,507,0,13.8,,0,0,Kepler-band,5533,0,0,0.95,0,0,0.89,0,0
790,Kepler-1037,b,Transit,1,1.06378867,0,,,,,,,,,,0.114,0,,,0,1,0,1,19h45m21.85s,296.341029,+47d10m15.1s,47.170856,451,0,14.229,,0,0,Kepler-band,5105,0,0,0.82,0,0,0.78,0,0
791,Kepler-1038,b,Transit,1,148.4603382,0,,,,,,,,,,0.315,0,,,0,1,0,1,19h55m53.32s,298.972184,+44d07m56.6s,44.132378,622,0,14.839,,0,0,Kepler-band,5335,0,0,0.87,0,0,0.83,0,0
792,Kepler-1039,b,Transit,1,0.93488424,0,,,,,,,,,,0.13,0,,,0,1,0,1,19h53m18.38s,298.326591,+45d18m55.9s,45.315514,324,0,14.145,,0,0,Kepler-band,4870,0,0,0.79,0,0,0.74,0,0
793,Kepler-104,b,Transit,3,11.427548,0,0.094,0,,,,,,,,0.277,0,,,0,1,0,1,19h10m25.11s,287.604612,+42d10m00.4s,42.166779,,,12.596,,0,0,Kepler-band,5711,0,0,0.81,0,0,1.35,0,0
794,Kepler-104,c,Transit,3,23.668205,0,0.153,0,,,,,,,,0.279,0,,,0,1,0,1,19h10m25.11s,287.604612,+42d10m00.4s,42.166779,,,12.596,,0,0,Kepler-band,5711,0,0,0.81,0,0,1.35,0,0
795,Kepler-104,d,Transit,3,51.755394,0,0.257,0,,,,,,,,0.319,0,,,0,1,0,1,19h10m25.11s,287.604612,+42d10m00.4s,42.166779,,,12.596,,0,0,Kepler-band,5711,0,0,0.81,0,0,1.35,0,0
796,Kepler-1040,b,Transit,1,201.1214,0,,,,,,,,,,0.186,0,,,0,1,0,1,18h52m27.31s,283.113784,+48d07m53.0s,48.131393,473,0,13.328,,0,0,Kepler-band,5694,0,0,0.98,0,0,0.96,0,0
797,Kepler-1041,b,Transit,1,24.7576421,0,,,,,,,,,,0.262,0,,,0,1,0,1,19h35m31.62s,293.881768,+49d40m59.4s,49.683155,979,0,14.49,,0,0,Kepler-band,5957,0,0,1.06,0,0,1.08,0,0
798,Kepler-1042,b,Transit,1,10.13202575,0,,,,,,,,,,0.195,0,,,0,1,0,1,19h14m40.54s,288.668933,+39d49m26.4s,39.824006,659,0,15.629,,0,0,Kepler-band,4815,0,0,0.75,0,0,0.72,0,0
799,Kepler-1043,b,Transit,1,38.5053398,0,,,,,,,,,,0.227,0,,,0,1,0,1,18h46m39.12s,281.662983,+47d34m06.9s,47.568584,838,0,14.777,,0,0,Kepler-band,5629,0,0,0.92,0,0,0.9,0,0
800,Kepler-1044,b,Transit,1,6.77408868,0,,,,,,,,,,0.238,0,,,0,1,0,1,19h32m34.67s,293.144456,+46d39m58.5s,46.666237,1507,0,15.368,,0,0,Kepler-band,5985,0,0,1.08,0,0,1.11,0,0
801,Kepler-1045,b,Transit,1,26.41045478,0,,,,,,,,,,0.24,0,,,0,1,0,1,18h56m43.99s,284.183296,+45d04m26.8s,45.074104,971,0,15.593,,0,0,Kepler-band,5301,0,0,0.86,0,0,0.82,0,0
802,Kepler-1046,b,Transit,1,14.37508035,0,,,,,,,,,,0.153,0,,,0,1,0,1,19h47m01.38s,296.755759,+46d59m53.8s,46.998291,518,0,13.286,,0,0,Kepler-band,5913,0,0,1.04,0,0,1.04,0,0
803,Kepler-1047,b,Transit,2,56.1886887,0,,,,,,,,,,0.186,0,,,0,1,0,1,19h14m35.10s,288.646254,+50d47m20.3s,50.788982,566,0,13.351,,0,0,Kepler-band,5754,0,0,1.08,0,0,1.13,0,0
804,Kepler-1047,c,Transit,2,3.18897601,0,,,,,,,,,,0.088,0,,,0,1,0,1,19h14m35.10s,288.646254,+50d47m20.3s,50.788982,566,0,13.351,,0,0,Kepler-band,5754,0,0,1.08,0,0,1.13,0,0
805,Kepler-1048,b,Transit,1,6.92101021,0,,,,,,,,,,0.144,0,,,0,1,0,1,18h47m35.60s,281.898352,+42d09m56.8s,42.165787,415,0,14.832,,0,0,Kepler-band,4651,0,0,0.75,0,0,0.7,0,0
806,Kepler-1049,b,Transit,1,3.27346074,0,,,,,,,,,,0.085,0,,,0,1,0,1,19h09m23.22s,287.346741,+47d46m22.6s,47.772957,129,0,14.22,,0,0,Kepler-band,3864,0,0,0.51,0,0,0.49,0,0
807,Kepler-105,b,Transit,2,5.4122,0,0.066,0,0.47,0,85.94,0,,,,0.429,0,,,0,1,0,1,19h11m32.96s,287.887325,+46d16m34.5s,46.276237,,,12.791,,0,0,Kepler-band,5827,0,0,0.96,0,0,0.89,0,0
808,Kepler-105,c,Transit,2,7.1262,0,,,,,,,0.01447,0,Mass,0.117,0,11.2,0,0,1,0,1,19h11m32.96s,287.887325,+46d16m34.5s,46.276237,,,12.791,,0,0,Kepler-band,5827,0,0,0.96,0,0,0.89,0,0
809,Kepler-1050,b,Transit,2,15.3787546,0,,,,,,,,,,0.143,0,,,0,1,0,1,18h51m42.00s,282.924996,+48d37m35.0s,48.626392,555,0,13.127,,0,0,Kepler-band,6010,0,0,1.09,0,0,1.13,0,0
810,Kepler-1050,c,Transit,2,21.1284569,0,,,,,,,,,,0.132,0,,,0,1,0,1,18h51m42.00s,282.924996,+48d37m35.0s,48.626392,555,0,13.127,,0,0,Kepler-band,6010,0,0,1.09,0,0,1.13,0,0
811,Kepler-1051,b,Transit,1,25.96200249,0,,,,,,,,,,0.303,0,,,0,1,0,1,19h40m37.95s,295.158106,+40d53m55.9s,40.898849,1021,0,13.2,,0,0,Kepler-band,6675,0,0,1.43,0,0,1.73,0,0
812,Kepler-1052,b,Transit,1,34.8538276,0,,,,,,,,,,0.261,0,,,0,1,0,1,19h41m22.26s,295.342731,+46d36m08.2s,46.602264,1051,0,14.876,,0,0,Kepler-band,5888,0,0,1.03,0,0,1.03,0,0
813,Kepler-1053,b,Transit,1,2.41435165,0,,,,,,,,,,0.087,0,,,0,1,0,1,19h25m40.47s,291.418635,+39d07m38.7s,39.127415,171,0,13.156,,0,0,Kepler-band,4529,0,0,0.74,0,0,0.69,0,0
814,Kepler-1054,b,Transit,1,4.30655689,0,,,,,,,,,,0.235,0,,,0,1,0,1,19h22m24.28s,290.601152,+44d33m23.0s,44.556385,1050,0,14.136,,0,0,Kepler-band,6209,0,0,1.22,0,0,1.34,0,0
815,Kepler-1055,b,Transit,1,2.29503623,0,,,,,,,,,,0.11,0,,,0,1,0,1,19h21m56.83s,290.486779,+44d55m57.4s,44.932617,422,0,13.09,,0,0,Kepler-band,5723,0,0,0.98,0,0,0.94,0,0
816,Kepler-1056,b,Transit,1,27.495606,0,,,,,,,,,,0.269,0,,,0,1,0,1,19h58m06.24s,299.52598,+46d53m57.3s,46.899261,971,0,14.55,,0,0,Kepler-band,6127,0,0,1.12,0,0,1.2,0,0
817,Kepler-1057,b,Transit,1,14.08827448,0,,,,,,,,,,0.3,0,,,0,1,0,1,19h49m48.52s,297.452152,+41d33m29.2s,41.558124,1462,0,15.624,,0,0,Kepler-band,5987,0,0,1.07,0,0,1.1,0,0
818,Kepler-1058,b,Transit,1,110.96546,0,,,,,,,,,,0.243,0,,,0,1,0,1,19h38m22.99s,294.595783,+45d52m30.1s,45.875034,525,0,15.498,,0,0,Kepler-band,4644,0,0,0.73,0,0,0.69,0,0
819,Kepler-1059,b,Transit,1,3.76419105,0,,,,,,,,,,0.154,0,,,0,1,0,1,19h16m52.85s,289.220209,+41d42m23.3s,41.706486,673,0,15.484,,0,0,Kepler-band,4906,0,0,0.75,0,0,0.72,0,0
820,Kepler-106,b,Transit,4,6.16486,0,,,,,,,0.0005,0,Mass,0.073,0,1.26,0,0,1,0,1,20h03m27.35s,300.863971,+44d20m15.2s,44.337555,,,12.882,,0,0,Kepler-band,5858,0,0,1,0,0,1.04,0,0
821,Kepler-106,c,Transit,4,13.5708,0,,,,,,,0.033,0,Mass,0.223,0,3.28,0,0,1,0,1,20h03m27.35s,300.863971,+44d20m15.2s,44.337555,,,12.882,,0,0,Kepler-band,5858,0,0,1,0,0,1.04,0,0
822,Kepler-106,d,Transit,4,23.9802,0,,,,,,,0.025,1,Mass,0.085,0,,,0,1,0,1,20h03m27.35s,300.863971,+44d20m15.2s,44.337555,,,12.882,,0,0,Kepler-band,5858,0,0,1,0,0,1.04,0,0
823,Kepler-106,e,Transit,4,43.8445,0,,,,,,,0.035,0,Mass,0.228,0,3.1,0,0,1,0,1,20h03m27.35s,300.863971,+44d20m15.2s,44.337555,,,12.882,,0,0,Kepler-band,5858,0,0,1,0,0,1.04,0,0
824,Kepler-1060,b,Transit,1,46.8779367,0,,,,,,,,,,0.212,0,,,0,1,0,1,19h04m06.05s,286.025189,+39d37m51.3s,39.630929,861,0,14.632,,0,0,Kepler-band,5797,0,0,0.99,0,0,0.99,0,0
825,Kepler-1061,b,Transit,1,2.75798267,0,,,,,,,,,,0.177,0,,,0,1,0,1,19h44m55.20s,296.230004,+50d16m30.8s,50.27523,585,0,13.263,,0,0,Kepler-band,6067,0,0,1.09,0,0,1.07,0,0
826,Kepler-1062,b,Transit,1,9.30412078,0,,,,,,,,,,0.157,0,,,0,1,0,1,18h55m35.86s,283.899402,+41d13m17.8s,41.221607,388,0,14.796,,0,0,Kepler-band,4597,0,0,0.75,0,0,0.7,0,0
827,Kepler-1063,b,Transit,1,14.07971466,0,,,,,,,,,,0.133,0,,,0,1,0,1,19h22m06.42s,290.52675,+38d08m34.7s,38.142973,365,0,12.261,,0,0,Kepler-band,5945,0,0,1.09,0,0,1.14,0,0
828,Kepler-1064,b,Transit,1,16.54080322,0,,,,,,,,,,0.138,0,,,0,1,0,1,19h26m57.99s,291.741637,+37d41m20.2s,37.688934,374,0,13.755,,0,0,Kepler-band,5153,0,0,0.85,0,0,0.79,0,0
829,Kepler-1065,b,Transit,2,3.60930891,0,,,,,,,,,,0.333,0,,,0,1,0,1,19h38m02.70s,294.511258,+38d47m25.8s,38.790501,1078,0,15.54,,0,0,Kepler-band,5635,0,0,0.94,0,0,0.93,0,0
830,Kepler-1065,c,Transit,2,2.37030743,0,,,,,,,,,,0.143,0,,,0,1,0,1,19h38m02.70s,294.511258,+38d47m25.8s,38.790501,1078,0,15.54,,0,0,Kepler-band,5635,0,0,0.94,0,0,0.93,0,0
831,Kepler-1066,b,Transit,1,1.93155984,0,,,,,,,,,,0.211,0,,,0,1,0,1,19h55m27.98s,298.866564,+46d30m08.1s,46.502239,399,0,13.007,,0,0,Kepler-band,5762,0,0,0.98,0,0,0.98,0,0
832,Kepler-1067,b,Transit,1,0.76212926,0,,,,,,,,,,0.071,0,,,0,1,0,1,19h01m32.98s,285.387409,+45d02m56.6s,45.049053,689,0,14.305,,0,0,Kepler-band,5592,0,0,0.95,0,0,0.93,0,0
833,Kepler-1068,b,Transit,1,16.92344113,0,,,,,,,,,,0.324,0,,,0,1,0,1,19h38m35.56s,294.648164,+46d23m32.5s,46.392365,1532,0,15.818,,0,0,Kepler-band,5806,0,0,1.01,0,0,1.01,0,0
834,Kepler-1069,b,Transit,1,23.8990296,0,,,,,,,,,,0.143,0,,,0,1,0,1,19h23m55.04s,290.979329,+47d59m20.4s,47.989002,435,0,13.153,,0,0,Kepler-band,5722,0,0,0.99,0,0,0.98,0,0
835,Kepler-107,b,Transit,4,3.179997,0,0.044,0,,,,,,,,0.139,0,,,0,1,0,1,19h48m06.78s,297.028248,+48d12m31.0s,48.208611,,,12.487,,0,0,Kepler-band,5851,0,0,,,,1.41,0,0
836,Kepler-107,c,Transit,4,4.901425,0,0.059,0,,,,,,,,0.161,0,,,0,1,0,1,19h48m06.78s,297.028248,+48d12m31.0s,48.208611,,,12.487,,0,0,Kepler-band,5851,0,0,,,,1.41,0,0
837,Kepler-107,d,Transit,4,7.958203,0,0.082,0,,,,,,,,0.095,0,,,0,1,0,1,19h48m06.78s,297.028248,+48d12m31.0s,48.208611,,,12.487,,0,0,Kepler-band,5851,0,0,,,,1.41,0,0
838,Kepler-107,e,Transit,4,14.749049,0,0.123,0,,,,,,,,0.308,0,,,0,1,0,1,19h48m06.78s,297.028248,+48d12m31.0s,48.208611,,,12.487,,0,0,Kepler-band,5851,0,0,,,,1.41,0,0
839,Kepler-1070,b,Transit,1,6.2216147,0,,,,,,,,,,0.154,0,,,0,1,0,1,19h32m46.89s,293.195374,+49d18m59.4s,49.316502,1040,0,13.977,,0,0,Kepler-band,6261,0,0,1.21,0,0,1.32,0,0
840,Kepler-1071,b,Transit,1,6.1799844,0,,,,,,,,,,0.212,0,,,0,1,0,1,19h32m13.92s,293.057996,+45d14m55.7s,45.248817,964,0,15.801,,0,0,Kepler-band,5215,0,0,0.86,0,0,0.81,0,0
841,Kepler-1072,b,Transit,1,1.5690665,0,,,,,,,,,,0.141,0,,,0,1,0,1,19h28m10.65s,292.04438,+46d19m44.5s,46.329025,976,0,13.93,,0,0,Kepler-band,6199,0,0,1.2,0,0,1.32,0,0
