rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbperlim,pl_orbsmax,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenlim,pl_orbincl,pl_orbincllim,pl_bmassj,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjlim,pl_dens,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefflim,st_teffblend,st_mass,st_masslim,st_massblend,st_rad,st_radlim,st_radblend,TEFF_COLOR,PL_TYPE,PA
1,746,a,Direct Imaging,3,12013.8,0,14.0184,0,0,0,46.7778,0,0.00443183,0,Mass,0.0999983,0,--,--,0,0,0,0,00h09m10.69s,2.29452,+59d08m59.2s,59.1498,16.6973,0,2.28,0,0,0,V (Johnson),6820,0,0,2.54633,0,0,3.90556,0,0,--,Cold_Earth,72.2639
2,746,b,Direct Imaging,3,1145.01,0,2.92495,0,0,0,44.6142,0,0.0131784,0,Mass,0.157105,0,--,--,0,0,0,0,00h09m10.69s,2.29452,+59d08m59.2s,59.1498,16.6973,0,2.28,0,0,0,V (Johnson),6820,0,0,2.54633,0,0,3.90556,0,0,--,Hot_Neptune,72.2639
3,746,c,Direct Imaging,3,3881.4,0,6.6004,0,0,0,45.0273,0,1.00076,0,Mass,1.03272,0,--,--,0,0,0,0,00h09m10.69s,2.29452,+59d08m59.2s,59.1498,16.6973,0,2.28,0,0,0,V (Johnson),6820,0,0,2.54633,0,0,3.90556,0,0,--,Warm_Jupiter,72.2639
4,1599,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,00h20m04.26s,5.01775,-64d52m29.2s,-64.8748,8.59254,0,4.23,0,0,0,V (Johnson),5979.2,0,0,1.06368,0,0,1.03862,0,0,--,--,--
5,2021,a,Direct Imaging,3,26.0563,0,0.193884,0,0,0,159.166,0,0.00791125,0,Mass,0.121305,0,--,--,0,0,0,0,00h25m45.07s,6.4378,-77d15m15.3s,-77.2542,7.47496,0,2.82,0,0,0,V (Johnson),5826.2,0,0,1.43213,0,0,1.81732,0,0,--,Hot_Earth,84.9264
6,2021,b,Direct Imaging,3,15.7712,0,0.138732,0,0,0,159.753,0,0.00812621,0,Mass,0.122394,0,--,--,0,0,0,0,00h25m45.07s,6.4378,-77d15m15.3s,-77.2542,7.47496,0,2.82,0,0,0,V (Johnson),5826.2,0,0,1.43213,0,0,1.81732,0,0,--,Hot_Earth,84.9264
7,2021,c,Direct Imaging,3,24.3485,0,0.185317,0,0,0,157.624,0,0.0203407,0,Mass,0.201329,0,--,--,0,0,0,0,00h25m45.07s,6.4378,-77d15m15.3s,-77.2542,7.47496,0,2.82,0,0,0,V (Johnson),5826.2,0,0,1.43213,0,0,1.81732,0,0,--,Hot_Neptune,84.9264
8,3821,a,Direct Imaging,6,13.2539,0,0.111676,0,0,0,-32.7347,0,0.000646443,0,Mass,0.0526391,0,--,--,0,0,0,0,00h49m06.29s,12.2762,+57d48m54.7s,57.8152,5.95273,0,3.46,0,0,0,V (Johnson),5938.1,0,0,1.05774,0,0,1.03912,0,0,--,Hot_Earth,258.095
9,3821,b,Direct Imaging,6,469.725,0,1.20493,0,0,0,-32.8399,0,0.00101494,0,Mass,0.0611802,0,--,--,0,0,0,0,00h49m06.29s,12.2762,+57d48m54.7s,57.8152,5.95273,0,3.46,0,0,0,V (Johnson),5938.1,0,0,1.05774,0,0,1.03912,0,0,--,Warm_Earth,258.095
10,3821,c,Direct Imaging,6,7431.62,0,7.59372,0,0,0,-34.8676,0,0.00219389,0,Mass,0.0791049,0,--,--,0,0,0,0,00h49m06.29s,12.2762,+57d48m54.7s,57.8152,5.95273,0,3.46,0,0,0,V (Johnson),5938.1,0,0,1.05774,0,0,1.03912,0,0,--,Cold_Earth,258.095
